Code,Food name,Edible conversion factor,Energy (kj),Water (g),Ash (g),Protein (g),Fat (g),Fibre (g),Carbohydrate available (g),Energy (kcal),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (mcg),Vit A-RAE (mcg),Vit A-RE (mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Dietary Folate Eq. (mcg),Food folate (mcg),Vit B12 (mcg),Vit C (mg)
1014,"Cake, Sponge, homemade",1,1940,15,1.6,6.5,26.7,1.1,49.1,465,140,1.4,12,246,105,350,0.6,7,323,338,309,173,0.04,0.13,0.5,9,9,0.9,0
 SD or min-max ,,,,,,,26.4-27,,,,,,,,,,,,,,,,0-0.8,0.1-0.15,,,,,
 n,,,,1,1,1,2,1,,,1,1,1,1,1,1,1,1,,,1,,2,2,1,,1,1,1
1015,"Cake, Sponge, without fat",1,1280,30,1.3,10,6.3,1.2,51.2,304,70,2,15,137,136,80,0.9,14,73,73,73,tr,0.1,0.25,0.5,16,16,1.6,0
 SD or min-max ,,,,,,,5.6-7,,,,,,,,,,,,,,,,,,,,,,0-0
 n,,,,1,1,1,2,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,2
1016,Cakes (Various Fancy Iced),1,1730,15.7,1.9,13,16.8,1.1,51.5,412,45,1.5,10,148,147,250,0.3,3,0,0,tr,tr,0.03,0.5,0.5,7,7,0.2,0
SD or min-max,,,,13-18.4,,,,,,,,,,,,,,,,,,,0-0.06,,,,,,
 n,,,,2,,1,1,1,,,1,1,1,1,1,1,1,1,,,0,,2,1,1,,1,1,1
1017,"Cornflour, from maize starch",1,1510,10.6,0.8,0.5,0.4,0.6,87.1,355,12,0.7,3,24,7,10,0.2,2,0,0,0,0,0.02,0,0.2,1,1,0,0
 SD or min-max ,,,,2,0.1-1.6,0.2,0.4,0.3-0.9,,,8-15,0.6,2,16,8,1,0.24,1-3,,,0-0,,0.02,0-0,0-0.4,,,,
 n,,,,4,2,4,4,2,,,2,4,3,3,3,3,3,2,,,2,,4,2,2,,3,3,3
1018,"Maize, grain, white variety, whole, dry, raw",1,1450,13.6,1.2,7.94,4.5,9.4,63.4,345,24,2.6,75,367,226,12,1.88,8,0,0,0,0,0.25,0.1,2,71,71,0,0
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,
1047,"Maize, grain, white variety, whole, dry, boiled, drained (without salt)",1,469,72.1,0.4,2.6,1.5,3,20.5,111,9,0.8,25,112,59,5,0.58,3,0,0,0,0,0.04,0.02,0.5,16,16,0,0
1048,"Maize, grain, white variety, whole, dry, stewed (without salt)",1,469,72.1,0.4,2.6,1.5,3,20.5,111,9,0.8,25,118,73,6,0.61,3,0,0,0,0,0.06,0.03,0.6,18,18,0,0
1019,"Maize, grain, yellow variety, whole, dry, raw",1,1430,12.7,1,8.3,3.7,11.9,62.5,340,7,3.9,104,216,346,7,2.3,8.5,20,40,0,241,0.5,0.12,2.2,33,33,0,0
 SD or min-max,,,,,,,,,,,3-10,3-4.8,85-123,190-241,,3-11,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,2,2,2,2,1,2,1,1,,,,,1,1,1,,1,,1
1049,"Maize, grain, yellow variety, whole, dry, boiled, drained (without salt)",1,463,71.8,0.4,2.7,1.2,3.8,20.2,110,4,1.3,34,66,90,4,0.7,3,6,12,0,70,0.08,0.03,0.5,7,7,0,0
1050,"Maize, grain, yellow variety, whole, dry, stewed, drained (without salt)",,334,79.6,0.3,1.9,0.9,2.8,14.5,79,3,0.9,25,50,81,4,0.53,2,4,9,0,53,0.09,0.03,0.5,6,6,0,0
1020,"Maize meal, sifted, fortified, packaged, raw",1,1490,12.7,0.7,6.8,3,4.5,72.3,352,20,3.6,50,229,150,12,4.36,0,71,71,71.4,0,0.5,0.31,3.69,523*,18,0,0
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
1021,"Maize, White, Degermed (Muthokoi)",1,1430,13.5,2.2,7.3,1.7,3.9,71.4,338,3,0.5,19,50,90,7,0.5,0,0,0,0,1.5,0.12,0.01,0.5,10,10,0,0
 SD or min-max ,,,,,0.5-4,,1.6-1.8,,,,3-3,0.3-0.6,10-28,40-60,70-110,,0.4-0.5,0-0,,,,,0.1-0.13,0.01-0.01,0.4-0.5,,9-10,0,0
 n,,,,1,2,1,2,1,,,2,2,2,2,2,1,2,2,,,1,,2,2,2,,2,3,3
1022,"Maize, whole, flour, raw",1,1450,13.6,1.2,7.9,4.5,9.4,63.4,345,9,2.6,110,323,258,12,1.88,9,0,0,0,0,0.25,0.1,2,71,71,0,0
1023,"Green Maize, white, whole, grain, fresh, raw",0.68,655,55.1,0.8,4.1,2.5,16.1,21.4,157,18,1.2,39,188,188,8,1.95,5,8,16,0,98,0.18,0.1,1.55,78,78,0,0.9
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
1051,"Green maize, white, whole, grain, fresh, boiled, drained (without salt)",0.69,612,58,0.8,3.8,2.3,15,20,146,17,1.1,36,167,141,6,1.73,5,7,14,0,82,0.08,0.07,1.1,51,51,0,1
1052,"Green Maize, white, whole, grain, fresh, stewed (without salt)",0.62,850,41.7,1.1,5.3,3.2,20.9,27.8,203,23,1.6,50,245,244,10,2.53,7,10,20,0,121,0.17,0.13,1.9,81,81,0,1
1024,"Millet, bulrush, flour",1,1490,11,2.7,10.5,5.3,8.8,61.8,354,32,32.4,84,263,291,4,4.14,34,0,0,0,0,0.27,0.17,1.5,162,162,0,3
1025,"Millet, bulrush, grain, dry, raw",1,1490,11,2.7,9.8,5.3,8.8,62.5,354,32,6.3,84,427,291,4,4.14,25,2,5,0,28,0.27,0.17,1.5,162,162,0,[3]
n ,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
1053,"Millet, bulrush, whole, grain, dry, boiled, drained (without salt)",1,623,62.9,1.1,4.1,2.2,3.6,26,148,15,2.6,36,169,97,3,1.64,11,1,2,0,11,0.06,0.05,0.5,47,47,0,1
1054,"Millet, bulrush, whole, grain, dry, stewed, drained (without salt)",1,623,62.9,1.1,4.1,2.2,3.6,26,148,15,2.6,36,178,122,3,1.73,11,1,2,0,11,0.08,0.07,0.6,54,54,0,1
1026,"Millet, finger, flour",1,1290,11.3,3.5,7.4,2,22.6,53.3,306,344,18.5,154,183,538,2,1.7,2.7,0,0,0,2,0.19,0.04,4.6,93,93,0,0
1027,"Millet, Finger, grain, dried, raw    ",1,1280,11.3,3.5,7.38,[1.9],22.6,53.5,305,344,11.3,154,183,538,2,1.7,15.3,0,0,0,2,0.19,0.04,4.6,93,93,0,0
 SD or min-max ,,,,1.5,1.8,1.5,0.6,6,,,24,10.9-11.6,15,31,80,0.28,0.23,,,,,,0.07,0.01,,,,,
 n,,,,19,19,19,18,4,,,4,2,4,16,4,4,4,1,,,1,,4,4,,,1,,1
1028,Millet Yeast (germinated millet seeds),1,1270,12.7,2.9,7.4,[1.9],[22.6],52.7,302,859,27.6,180,245,81,6,[1.64],[15],0,0,0,0,0.16,[0.04],[4.5],[93],[90],0,[0]
 SD or min-max ,,,,11.3-14.1,2.3-3.5,,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
 n,,,,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,
1029,"Oat bran, unprocessed, uncooked",1,1570,5.6,2.9,10.7,7.5,15.5,57.8,373,54,4.4,153,491,362,12,3.2,45,0,0,0,0,0.76,0.14,0.8,33,33,0,0
SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-0,0-0
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,2,2
1030,"Pasta, macaroni, plain, dry, raw-imported",1,1570,7.1,0.7,13.7,1.5,3.3,73.8,370,21,1.9,44,148,147.6,5.2,0.6,13,0,0,0,0,0.07,0.03,1.1,17,17,0,0
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
1065,"Pasta, macaroni, plain, dry, imported, boiled, drained (without salt)",1,637,62.2,0.3,5.6,0.6,1.4,30,150,10,0.6,16,57,36,3,0.25,5,0,0,0,0,0.03,0.01,0.4,5,5,0,0
1066,"Pasta, macaroni, plain, dry, imported boiled in recipe (without salt)",,637,62.2,0.3,5.6,0.6,1.4,30,150,10,0.8,18,60,60,4,0.25,5,0,0,0,0,0.02,0.01,0.4,5,5,0,0
1031,"Pasta, spaghetti, dry, raw-imported",1,1500,10.6,1.1,12.7,1.4,3.2,71,354,18,1,30,172,142,5,0.6,12,0,0,0,0,0.07,0.06,1.1,16,16,0,0
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
1063,"Pasta, spaghetti, dry, imported, boiled, drained (without salt)",1,517,69.1,0.4,4.4,0.5,1.1,24.5,122,8,0.3,9,56,30,3,0.21,4,0,0,0,0,0.02,0.02,0.3,4,4,0,0
1064,"Pasta, spaghetti, dry, imported, boiled in recipe (without salt)",1,517,69.1,0.4,4.4,0.5,1.1,24.5,122,8,0.3,11,59,49,4,0.21,4,0,0,0,0,0.02,0.02,0.3,4,4,0,0
1032,"Rice, Flour",1,1490,11.9,0.5,6,1.1,2.1,78.4,352,14,0.8,37,146,155,2,0.95,12,0,0,0,0,0.12,0.03,2.9,7,7,0,0
 SD or min-max ,,,,0.1,,0.4,0.8-1.4,,,,9,0.9,15,58,82,3,0.8-1.1,,,,,,0.02,0.02,1,,,,0
 n,,,,3,1,3,2,1,,,3,3,3,3,3,3,2,1,,,,,3,3,3,,2,,3
1033,"Rice, parboiled, raw ",1,1460,12,0.6,7,0.5,3.7,76.2,345,9,1.7,26,125,100,6,1.06,1,0,0,0,0,0.25,0.02,2.5,[10],[10],0,0
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
1060,"Rice, parboiled, boiled (without salt)",,505,69.6,0.2,2.4,0.2,1.3,26.3,119,5,0.6,10,43,35,4,0.36,0,0,0,0,0,0.06,0.01,0.8,3,3,0,0
1034,"Rice, white, milled, polished grain, dry, raw ",1,1500,12.2,0.4,7.6,1,0.7,78.1,353,21,0.9,23,144,59,17,1.32,1,0,0,0,0,0.07,0.11,1.1,[9],[9],0,0
n ,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
1059,"Rice, white, milled, polished grain, dry, boiled (without salt)",,503,70.5,0.2,2.6,0.3,0.2,26.2,119,9,0.3,8,48,20,8,0.44,0,0,0,0,0,0.02,0.04,0.4,2,2,0,0
1035,Semolina,1,1460,11.8,0.8,10.9,1.1,4.9,70.5,345,16,1.6,35,102,196,2,1.17,9,0,0,0,2,0.12,0.05,1.9,57,57,0,0
 SD or min-max ,,,,2.1,0,1.3,0.3,3.2,,,,,10,,76,1,0.69,3,,,,,,0.03,1,,25,,0
 n,,,,5,3,4,5,4,,,1,1,4,1,4,4,4,3,,,,,1,4,4,,3,,4
1036,"Scone, plain, commercial",1,1570,21,3,7.5,[15],2.1,51.4,375,56,1.5,15,107,128,800,0.7,2,95,102,87,90,0.09,0.1,0.5,19,19,0.4,0
SD or min-max,,,,,,,,,,,9,,0.6,1.2,1.5,,0,0,,,,,0,,0,,0,0,0
 n,,,,1,1,1,1,1,,,4,1,3,3,3,1,3,3,,,1,,3,1,3,,3,3,4
1037,"Sorghum, Grain, Red, Dried, Raw",1,1420,11.6,1.8,9.3,3.5,14,59.9,336,10,3,150,296,387,6,1.97,21,0,1,0,4,0.24,0.11,3.3,64,64,0,0
SD or min-max ,,,,1.3,0.3,1.3,,,,,,,19,16,,,,,,,,,,,,,,,
 n,,,,6,5,5,1,1,,,1,1,4,3,1,1,1,1,,,,,1,1,1,,1,,1
1057,"Sorghum, whole, grain, red, dried, boiled, drained (without salt)",1,590,63.1,0.8,3.9,1.5,5.8,24.9,140,6,1.4,63,117,129,4,0.78,9,0,0,0,2,0.05,0.04,1,19,19,0,0
1058,"Sorghum, whole, grain, red, dried, stewed, drained (without salt)",1,590,63.1,0.8,3.9,1.5,5.8,24.9,140,6,1.4,63,123,162,4,0.82,9,0,0,0,2,0.08,0.05,1.3,21,21,0,0
1038,"Sorghum, Grain, Red, Flour",1,1420,11.6,1.8,9.3,3.5,14,59.9,336,10,3,150,296,387,6,1.97,12,0,0,0,0,0.24,0.11,3.3,,,0,0
1039,"Sorghum, grain, white, dry, raw",1,1440,11.8,1.5,10.8,3.5,11.9,60.5,341,18,6.4,101,356,233,6,1.69,21,1,3,0,17,0.24,0.11,3.3,64,64,0,0
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
1055,"Sorghum, whole, grain white, dry, boiled, drained (without salt)",1,599,63.2,0.6,4.5,1.5,4.9,25.2,142,9,2.7,43,141,78,4,0.67,9,1,1,0,6,0.05,0.04,1,19,19,0,0
1056,"Sorghum, whole, grain white, dry, stewed, drained (without salt)",1,599,63.2,0.6,4.5,1.5,4.9,25.2,142,9,2.7,43,148,97,4,0.7,9,1,1,0,7,0.08,0.05,1.3,21,21,0,0
1040,"Sorghum, grain, white, flour",1,1440,11.8,1.5,10.8,3.5,11.9,60.5,341,18,6.4,101,356,280,4,1.69,26,1,1,0,8.29,0.24,0.11,3.3,,,0,0
1041,"Teff, raw",1,1490,8.8,2.4,13.3,2.4,8,65.1,351,180,7.6,184,429,427,12,3.63,4,0,1,0,5,0.39,0.27,3.4,166,166,0,3
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
1042,Wheat Flour-Atta,1,1410,11.7,1.4,11.4,1.8,11.3,62.4,334,34,3.8,117,283,331,2,2.33,39,0,0,0,2,0.5,0.14,3.5,80,0,0,0
SD or min-max ,,,,1.5,0.2,1.1,0.3,0.1,,,4,0.5,13,55,31,2-3,0.89,21,,,,,,0.02,1.7,,,,
 n,,,,4,3,4,4,3,,,4,4,3,3,3,2,3,3,,,1,,1,3,3,,1,,1
1043,"Wheat Flour (refined/fortified/sifted packaged), raw",1,1480,12.2,0.7,11.2,1.6,3.6,70.7,349,35,5.6,31,183,129,2,0.87,0,93,93,93,2,0.91,0.57,5.9,577*,42,0.7,0
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
1044,"Wheat, whole, flour, raw ",1,1380,12.5,1.7,11.3,2.5,14,58,328,39,4,125,315,366,3,3,48,0,1,0,3,0.43,0.14,2.7,,,0,0
1045,"Wheat, whole, grain, dry, raw ",1,1380,12.5,1.7,11.6,2.5,14,57.8,328,39,4.9,122,205,358,2,3,47,0,1,0,5,0.39,0.13,2.7,57,57,0,0
n ,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
1061,"Wheat, whole, grain, dry, boiled (without salt)",1,777,50.8,1,6.5,1.4,7.9,32.5,184,23,2.8,69,109,161,2,1.43,26,0,0,0,3,0.11,0.05,1.1,22,22,0,0
1062,"Wheat, whole, grain, dry, stewed (without salt)",1,777,50.8,1,6.5,1.4,7.9,32.5,184,23,2.8,69,115,201,3,1.51,26,0,0,0,3,0.16,0.07,1.4,26,26,0,0
2001,"Arrowroot, flour",1,1410,16.5,0.5,0.2,0.2,0.9,81.8,331,33,1,4,7,11,2,0.57,0,0,0,0,0,0.1,0.02,0.48,0,0,0,0
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
2002,"Arrowroot, peeled, raw",0.76,461,70.9,1.3,3.2,0.3,,22.3,109,6,1.1,25,43,685,36,1,1,1,3,0,17,0.22,0.09,2.56,tr,tr,0,2
SD or min-max ,,,,1,,,,,,8.37,,,,,,,,,,,,,,,,,,,
 n,,,,4,1,3,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
2020,"Arrowroot, peeled, boiled, drained (without salt)",1,461,70.9,1.3,3.2,0.3,2,22.3,109,6,1,23,40,548,28,0.86,1,1,3,0,16,0.17,0.08,1.9,tr,tr,0,1
2003,"Banana, BITA 3, dried, flour",1,1550,2.3,3.6,3.9,1.8,9.9,78.5,366,30,1.2,60,100,1030,4,0.62,4,13,25,0,151,0.18,0.24,2.8,14,14,0,7.1
SD or min-max ,,,,1.5-3,3-4.2,3.9-3.9,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,2,2,2,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
2004,"Banana, plantain, green, raw",0.5,410,73.6,0.9,1.4,[0.4],3.6,20.1,97,7,0.8,23,29,322,10,0.23,1,0,1,0,3,0.06,0.04,0.33,19,19,0,23.3
SD or min-max,,,,1.48,0.1,0,0.3-0.5,,,,2-11,0.6-0.9,21-25,10,241-402,1-19,0.23-0.23,1-1,,,,,,0.02-0.06,,,,,
 n,,,,4,3,3,2,1,,,2,2,2,3,2,2,2,2,,,,,1,2,1,,1,,1
2005,"Beet root, peeled, raw",0.85,184,86.1,1.4,2.17,0.1,3.31,6.9,44,13,0.8,11,36,298,60,0.55,0,1,2,0,10,0.01,0.02,0.3,110,110,0,5.3
SD or min-max ,,,,,1.4-1.5,,,,,,8-17,0.8-0.9,,35-36,290-306,,0.3-0.8,0-1,,,,,,0.01-0.02,0.2-0.4,,,,
 n,,,,1,2,1,1,1,,,2,2,1,2,2,1,2,2,,,,1,1,2,2,,1,,1
2021,"Beet root, peeled, boiled, drained (without salt)",1,186,86,1.4,2.2,0.1,3.3,7,44,12,62.9,7,32,135,33,0.42,0,1,1,0,7,0.01,0.01,0.2,56,56,0,2
2022,"Beet root, peeled, stewed (without salt)",1,174,86.9,1.3,2,0.1,3.1,6.5,41,12,0.8,11,34,281,56,0.52,0,1,1,0,6,0.01,0.01,0.3,73,73,0,4
2007,"Cassava, root, white, peeled, raw",0.93,733,53.8,1,1.3,0.3,4.6,39.1,173,33,0.9,13,21,250,2,0.34,1,1,1,0,8,0.23,0.01,0.4,27,27,0,38
SD or min-max,,,,,,,0.3-0.3,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,2,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
2023,"Cassava, root, white, peeled, boiled, drained (without salt)",1,627,60.5,0.8,1.1,0.2,3.9,33.4,148,27,0.7,10,17,171,1,0.26,1,1,1,0,6,0.15,0.01,0.3,15,15,0,23
2008,"Cassava, root, yellow, peeled, raw",0.95,531,65.7,0.8,1.6,0.2,4.7,27,126,18,0.6,9,27,290,2,0.34,1,61,122,0,[730],0.09,0.03,0.8,27,27,0,41
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
2024,"Cassava, root, yellow, peeled, boiled, drained (without salt)",1,454,70.7,0.7,1.4,0.2,4,23.1,107,15,0.5,7,21,198,1,0.26,1,49,99,0,593,0.06,0.02,0.5,15,15,0,25
2009,"Potato, Irish (English), white variety, peeled, raw",0.85,447,72.1,1,2.4,0.1,1.68,22.7,105,9,1.4,19,81,645,6.46,0.32,1,0,0,0,0,0.07,0.04,1.2,53,53,0,6.6
SD or min-max,,,,,,,,,,,,,,,,,,,,,,,0.06-0.07,0.01-0.06,1-1.4,,11-96,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,2,2,2,,2,,1
2025,"Potato, Irish (English), white variety, peeled, boiled, drained (without salt)",1,447,72.1,1,2.4,0.1,1.7,22.7,105,8,1.3,17,76,516,5,0.29,0,0,0,0,0,0.05,0.03,0.9,34,34,0,5
2026,"Potato, Irish (English), white variety, peeled, steamed (without salt)",,456,71.5,1,2.5,0.2,1.7,23.2,107,8,1.3,18,79,559,6,0.31,0,0,0,0,0,0.06,0.04,1.1,33,33,0,5
2010,"Radish, round, red skin, raw",0.81,64,94.5,0.7,0.8,0.16,2.3,1.6,15,36,0.4,22,22,103,32.27,0.18,0,0,0,0,1,0.02,0.03,0.3,25,25,0,21
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
2011,"Radish, long, red skin, raw",0.98,57,94.7,0.8,0.6,[0.1],2.5,1.3,14,28,0.37,13,27,193,25,0.16,0,0,0,0,2,0.06,0.02,0.3,26,26,0,17
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
2012,"Radish, white skin, raw",0.99,93,93,0.7,1.1,0.3,2.1,2.7,22,40,0.4,14,20,249,26,0.34,0,1.25,3,0,15,0.03,0.02,0.5,28,28,0,15
SD or min-max ,,,,,0.6-0.8,,,1.8-2.4,,,,0.3-0.4,13-15,,210-287,24-28,0.17-0.5,0-1,,,,,0.03-0.03,,0.2-0.8,,,,
 n,,,,1,2,1,1,2,,,1,2,2,1,2,2,2,2,,,,,2,1,2,,1,,1
2013,"Sweet potato, brown skin, peeled, raw",0.84,428,72,1.2,1.7,[0.4],4,20.8,101,22,0.4,12,25,389,20,0.28,0,8,17,0,100,0.07,0.03,0.8,16,16,0,18
SD or min-max ,,,,5.3,0.3,0,0.1,,,,11,0.1,3,9,76,14,0.19,,,,0-0,,,0.02,0.2,,,,
 n,,,,11,9,3,5,1,,,5,3,7,12,4,8,3,1,,,2,,1,3,3,,1,,1
2027,"Sweet potato, brown skin, peeled, boiled, drained (without salt)",,428,72,1.2,1.7,0.4,4,20.8,101,21,0.4,10,23,311,16,0.25,0,8,16,0,95,0.05,0.03,0.6,10,10,0,13
